Subfolder,Index,Exact Match,F1-Score,METEOR
text,0,0.0,0.375,0.40672268907563036
text,1,0.0,0.0,0.0
text,2,1.0,1.0,0.24671052631578952
text,3,0.0,0.0,0.0
text,4,0.0,0.0,0.027932960893854754
text,5,0.0,0.6666666666666666,0.14312977099236646
text,6,0.0,0.8,0.05000000000000001
text,7,0.0,0.0,0.0
text,8,0.0,0.0,0.0
text,9,0.0,0.0,0.0
text,10,0.0,1.0,0.0
text,11,0.0,0.0,0.0
text,12,0.0,0.0,0.0
text,13,1.0,1.0,0.18939393939393942
text,14,0.0,0.0,0.0
text,15,0.0,0.2857142857142857,0.199468085106383
text,16,1.0,1.0,0.24134790528233155
text,17,1.0,1.0,0.21551724137931036
text,18,0.0,0.0,0.03937007874015749
text,19,1.0,1.0,0.27263374485596714
text,20,0.0,0.6666666666666666,0.199468085106383
text,21,1.0,1.0,0.1806407634628494
text,22,0.0,0.0,0.0
text,23,0.0,0.0,0.08264462809917356
text,24,1.0,1.0,0.2016129032258065
text,25,0.0,0.6666666666666666,0.19329896907216498
text,26,1.0,1.0,0.18382352941176472
text,27,0.0,0.0,0.0
text,28,0.0,0.0,0.0
text,29,1.0,1.0,0.07142857142857145
text,30,0.0,0.0,0.03906250000000001
text,31,0.0,0.0,0.0
text,32,1.0,1.0,0.199468085106383
text,33,0.0,0.0,0.05208333333333335
text,34,1.0,1.0,0.20167427701674281
text,35,0.0,0.0,0.0
text,36,0.0,0.0,0.0
text,37,0.0,0.0,0.0
text,38,0.0,0.0,0.0
text,39,0.0,0.0,0.04237288135593221
text,40,0.0,0.0,0.0
text,41,1.0,1.0,0.3458333333333333
text,42,0.0,0.0,0.040322580645161296
text,43,1.0,1.0,0.26767676767676774
text,44,0.0,0.0,0.0
text,45,1.0,1.0,0.09090909090909093
text,46,1.0,1.0,0.4330065359477125
text,47,0.0,0.0,0.0
text,48,0.0,0.0,0.04545454545454546
text,49,1.0,1.0,0.26041666666666674
text,50,0.0,0.0,0.05208333333333334
text,51,0.0,0.8,0.049504950495049514
text,52,0.0,0.0,0.0
text,53,0.0,0.0,0.0
text,54,0.0,0.0,0.0
text,55,0.0,0.0,0.055555555555555566
text,56,0.0,0.0,0.05208333333333334
text,57,0.0,0.8,0.04807692307692309
text,58,0.0,0.0,0.027932960893854754
text,59,1.0,1.0,0.13888888888888892
text,60,0.0,0.0,0.0
text,61,0.0,0.0,0.24038461538461542
text,62,1.0,1.0,0.18750000000000003
text,63,0.0,0.0,0.04901960784313726
text,64,0.0,0.0,0.0
text,65,0.0,0.0,0.0
text,66,0.0,0.0,0.0
text,67,1.0,1.0,0.22865853658536586
text,68,0.0,0.0,0.0
text,69,0.0,0.0,0.048543689320388356
text,70,0.0,0.0,0.0
text,71,0.0,0.0,0.0
text,72,1.0,1.0,0.22865853658536586
text,73,0.0,0.0,0.0
text,74,0.0,0.6666666666666666,0.04545454545454546
text,75,0.0,0.0,0.0892857142857143
text,76,0.0,1.0,0.04761904761904763
text,77,0.0,0.0,0.0
text,78,0.0,0.0,0.0
text,79,0.0,0.0,0.0
text,80,1.0,1.0,0.23437500000000006
text,81,0.0,1.0,0.05882352941176472
text,82,0.0,0.0,0.0
text,83,0.0,0.0,0.0
text,84,0.0,0.28571428571428575,0.09090909090909091
text,85,0.0,0.0,0.16304347826086962
text,86,1.0,1.0,0.2016129032258065
text,87,0.0,0.6666666666666666,0.15495867768595042
text,88,0.0,0.0,0.0
text,89,1.0,1.0,0.22058823529411767
text,90,0.0,0.0,0.0
text,91,0.0,0.4,0.06493506493506494
text,92,1.0,1.0,0.16163793103448276
text,93,0.0,0.0,0.21306818181818182
text,94,0.0,0.0,0.04716981132075472
text,95,0.0,0.0,0.0
text,96,0.0,0.0,0.0
text,97,0.0,0.6666666666666666,0.1348920863309353
text,98,0.0,0.0,0.15889830508474578
text,99,0.0,0.8,0.20030234315948606
text,100,0.0,0.0,0.04237288135593221
text,101,0.0,0.0,0.10416666666666669
text,102,1.0,1.0,0.13586956521739132
text,103,0.0,0.15384615384615385,0.08403361344537816
text,104,0.0,0.6666666666666666,0.05102040816326532
text,105,0.0,0.6666666666666666,0.19132653061224492
text,106,0.0,0.0,0.0
text,107,0.0,0.4,0.09090909090909091
text,108,0.0,0.0,0.0
text,109,0.0,0.0,0.0
text,110,0.0,0.5,0.053763440860215055
text,111,0.0,0.0,0.0
text,112,0.0,1.0,0.053191489361702135
text,113,1.0,1.0,0.3342281879194631
text,114,1.0,1.0,0.08064516129032259
text,115,0.0,0.6666666666666666,0.1785714285714286
text,116,0.0,0.0,0.0
text,117,0.0,0.0,0.04347826086956522
text,118,0.0,0.8,0.1785714285714286
text,119,1.0,1.0,0.32006048387096786
text,120,0.0,0.0,0.0
text,121,0.0,0.0,0.09900990099009903
text,122,0.0,0.0,0.0
text,123,0.0,0.0,0.05000000000000001
text,124,0.0,0.0,0.0
text,125,1.0,1.0,0.21802325581395354
text,126,0.0,0.0,0.0
text,127,1.0,1.0,0.2701325178389399
text,128,0.0,1.0,0.20833333333333337
text,129,0.0,0.0,0.03906250000000001
text,130,0.0,0.0,0.0
text,131,0.0,0.0,0.0
text,132,1.0,1.0,0.18635724331926867
text,133,1.0,1.0,0.03937007874015749
text,134,0.0,0.0,0.04347826086956522
text,135,0.0,0.0,0.04310344827586207
text,136,1.0,1.0,0.18750000000000003
text,137,0.0,0.0,0.02192982456140351
text,138,0.0,0.0,0.0
text,139,0.0,0.0,0.0
text,140,1.0,1.0,0.21551724137931036
text,141,0.0,0.0,0.0
text,142,0.0,0.0,0.04347826086956522
text,143,0.0,0.08,0.08287292817679559
text,144,1.0,1.0,0.15625000000000006
text,145,0.0,0.0,0.05617977528089888
text,146,0.0,0.0,0.07042253521126762
text,147,0.0,0.0,0.0
text,148,0.0,0.8,0.10000000000000002
text,149,0.0,1.0,0.2944444444444445
text,150,0.0,0.0,0.0
text,151,0.0,0.0,0.0
text,152,0.0,0.0,0.19850628930817615
text,153,0.0,0.0,0.0
text,154,1.0,1.0,0.26289682539682546
text,155,1.0,1.0,0.2016129032258065
text,156,0.0,0.0,0.0
text,157,0.0,0.0,0.06024096385542169
text,158,0.0,0.6666666666666666,0.061728395061728406
text,159,0.0,0.6666666666666666,0.18382352941176472
text,160,0.0,0.0,0.0
text,161,0.0,0.0,0.0
text,162,0.0,0.0,0.0
text,163,1.0,1.0,0.16447368421052633
text,164,0.0,0.0,0.0
text,165,0.0,0.0,0.0
text,166,0.0,0.0,0.03144654088050315
text,167,1.0,1.0,0.24671052631578952
text,168,0.0,0.0,0.04273504273504274
text,169,0.0,0.0,0.034965034965034975
text,170,0.0,0.5,0.08620689655172414
text,171,1.0,1.0,0.07575757575757577
text,172,0.0,0.4,0.0
text,173,1.0,1.0,0.1674107142857143
text,174,1.0,1.0,0.20604395604395606
text,175,0.0,0.0,0.0
text,176,0.0,0.0,0.0
text,177,0.0,0.0,0.03968253968253969
text,178,0.0,0.0,0.0
text,179,0.0,0.6666666666666666,0.04716981132075473
text,180,0.0,0.0,0.0
text,181,0.0,0.0,0.0
text,182,0.0,0.0,0.0
text,183,0.0,0.5,0.31779661016949157
text,184,0.0,0.0,0.03703703703703705
text,185,1.0,1.0,0.19132653061224492
text,186,0.0,0.8,0.0735294117647059
text,187,0.0,0.0,0.05376344086021507
text,188,0.0,0.0,0.0
text,189,0.0,0.4,0.09090909090909093
text,190,1.0,1.0,0.1644941030415891
text,191,1.0,1.0,0.27263374485596714
text,192,0.0,0.0,0.0
text,193,0.0,0.0,0.0
text,194,0.0,0.0,0.04166666666666668
text,195,1.0,1.0,0.06250000000000001
text,196,1.0,1.0,0.18564356435643567
text,197,0.0,0.0,0.0
text,198,0.0,0.8,0.18564356435643567
text,199,0.0,0.0,0.04807692307692309
text,200,1.0,1.0,0.18382352941176472
text,201,0.0,0.0,0.0
text,202,0.0,0.0,0.0
text,203,0.0,0.5,0.048543689320388356
text,204,1.0,1.0,0.05813953488372094
text,205,0.0,0.0,0.030674846625766878
text,206,1.0,1.0,0.09090909090909093
text,207,0.0,0.0,0.0
text,208,1.0,1.0,0.04672897196261683
text,209,0.0,0.0,0.048543689320388356
text,210,0.0,0.0,0.0
text,211,0.0,0.0,0.0
text,212,0.0,0.0,0.0
text,213,1.0,1.0,0.199468085106383
text,214,1.0,1.0,0.06493506493506496
text,215,0.0,0.6666666666666666,0.05102040816326532
text,216,1.0,1.0,0.035971223021582746
text,217,0.0,0.0,0.034722222222222224
text,218,0.0,0.6666666666666666,0.21802325581395354
text,219,0.0,0.8,0.20833333333333337
text,220,0.0,0.0,0.0
text,221,1.0,1.0,0.07142857142857145
text,222,0.0,1.0,0.05813953488372094
text,223,0.0,0.0,0.0
text,224,0.0,0.0,0.09900990099009903
text,225,0.0,0.6666666666666666,0.1752336448598131
text,226,0.0,0.0,0.0
text,227,0.0,0.5,0.045871559633027525
